Products,Characteristics,Current Week 02/Jan/2022-08/Jan,Last Week 26/Dec/2021-01/Jan,Change from Last Week
Gasoline (kl),,Missing,Missing,Missing
Naphtha (kl),,Missing,Missing,Missing
Jet (kl),,Missing,Missing,Missing
Kerosene (kl),,Missing,Missing,Missing
Gas Oil(Diesel) (kl),,Missing,Missing,Missing
LSA (kl),Sul under 0.1%,Missing,Missing,Missing
HSA (kl),Sul over 0.1%,Missing,Missing,Missing
AFO (kl),,Missing,Missing,Missing
LSC (kl),Sul under 0.5%,33483,4502,28981
HSC (kl),Sul over 0.5%,48829,36242,12587
CFO (kl),,82312,40744,41568
Total (kl),,Missing,Missing,Missing
