Products,Characteristics,Current Week 02/Jan/2022-08/Jan,Last Week 26/Dec/2021-01/Jan,Change from Last Week
Gasoline (kl),,1560177,1610855,-50678
Naphtha (kl),,1284014,1393596,-109582
Jet (kl),,820954,901391,-80437
Kerosene (kl),,2138160,2232033,-93873
Gas Oil(Diesel) (kl),,1589100,1429970,159130
LSA (kl),Sul under 0.1%,291438,287422,4016
HSA (kl),Sul over 0.1%,467395,481722,-14327
AFO (kl),,758833,769144,-10311
LSC (kl),Sul under 0.5%,719390,721488,-2098
HSC (kl),Sul over 0.5%,1114667,1100528,14139
CFO (kl),,1834057,1822016,12041
Total (kl),,9985295,10159005,-173710
